Query,Runtime (ms)
1a,340
1b,204
1c,52
1d,281
2a,544
2b,541
2d,554
3a,278
3b,147
3c,497
4a,271
4b,193
4c,332
5c,140
6a,2188
6b,2160
6c,2157
6d,2236
6e,2226
6f,3134
7a,5390
7b,5331
7c,5464
8a,108
8b,26
8c,5205
8d,4995
9a,318
9b,252
9c,524
9d,598
10a,653
10c,1051
11a,381
11b,354
11c,472
11d,476
12a,393
12b,2711
12c,464
13b,1849
13c,1840
14a,284
14b,190
14c,538
15a,398
15b,276
15c,856
15d,860
16a,3044
16b,3612
16c,3151
16d,3290
17a,2736
17b,2667
17c,2667
17d,2674
17e,3497
17f,2757
18a,2880
18b,120
18c,528
19a,332
19b,197
19c,688
19d,3302
20a,5212
20b,4031
20c,4836
21a,318
21b,339
21c,429
22a,808
22b,790
22c,924
22d,1311
23a,1008
23b,936
23c,1117
24a,746
24b,684
25a,1436
25b,270
25c,1475
26a,4107
26b,4000
26c,4159
27a,747
27b,714
27c,846
28a,903
28b,769
28c,881
29a,1292
29b,1282
29c,1492
30a,923
30b,862
30c,986
31a,1778
31b,271
31c,1928
32b,442
33a,824
33b,778
33c,879
